B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A02715,S103801,12848,"Samuels funerall. Or A sermon preached at the funerall of Sir Anthonie Cope Knight, and Barronnet. By Mr. Robert Harrice","Harris, Robert, 1581-1658.",Printed by Felix Kyngston for Thomas Man and are to be sold at the signe of the Talbot in Pater noster row,At London,"Sir, 1548 or 9-1615; Sermons; 17th century.; Funeral sermons; Cope, Anthony,; Sermons, English; Early works to 1800.",1618
A05967,S101118,1628,"A caueat for cold Christians. In a sermon preached by Mr. Paul Bayne ... Wherein the common disease of Christians, with the remedie, is plainly and excellently set downe for all that will vse it","Baynes, Paul, d. 1617.",pImrinted by Felix Kyngston for Nathanael Newbery and are to be sold at his shop vnder St Peters Church in Cornhill and in Popes head Alley right against the signe of the white horse,At London,"17th century.; Sermons, English",1618
A07558,S112791,17942,"Iacobs great day of trouble, and deliuerance A sermon preached at Pauls Crosse, the fifth of August 1607. vpon his Maiesties deliuerance from the Earle Gowries treason and conspiracie. By Iohn Milvvarde Doctor of Diuinitie.","Milward, Matthias, fl. 1603-1641.; Milward, John, 1556-1609.",Printed by William Stansby for Eleazar Edgar and are to bee sold at his shop in Pauls Church yard at the signe of the Wind mill,London,"Conspiracies; Sermons; 17th century.; Sermons, English; Early works to 1800.",1610
A04238,S100848,1436,"The good mans priuiledge A sermon lately preached at Plimmouth in Deuon, by I.B. And now published at the request of some that then were auditors.","Barlow, John, b. 1580 or 81.",Imprinted by F elix K ingston for Nathaniel Newbery and are to be sold at his shop vnder St Peters Church in Cornhill and in Popes head Alley ouer against the signe of the white horse,London,"17th century.; Sermons, English",1618
A01724,S118830,11858,"Foure sermons vpon the seuen chiefe vertues or principall effectes of faith and the doctrine of election: wherein euerie man may learne, whother he be Gods childe or no. Preached at Malden in Essex by Master George Gifford, penned from his mouth, and corrected and giuen to the Countesse of Sussex, for a Newyeeres gift.","Gifford, George, d. 1620.; Josua, Richard.",By Thomas Dawson for Tobie Cooke at the Tigers head in Paules Churchyard,Imprinted at London,No Keywords,1582
A08447,S103131,18769,"Certaine godly and very profitable sermons of faith, hope and charitie. First set foorth by Master Barnardine Occhine, of Siena in Italy, and now lately collected, and translated out of the Italian tongue, into the English by William Phiston of London student. Published for the profit of such as desire to vnderstand the truth of the gospell.","Ochino, Bernardino, 1487-1564.; Phiston, William.",By Thomas East,Imprinted at London,Sermons; Theological virtues; Early works to 1800.,1580
A02723,nan,nan,"The vvay to true happinesse Deliuered in XXIV. sermons vpon the Beatitudes. By Robert Harris, B. in Diuinity, and pastor of Hanwell. Also, a treatise of the nevv couenant; set forth sermon-wise, on Ezechiel the XI. By the same authour.","Harris, Robert, 1581-1658.",Printed by R Badger and John Beale for Iohn Bartlet and are to be sold at his shop in Cheape side at the Gilded Cup,London,"Beatitudes; Sermons.; Covenant theology; 17th century.; Sermons, English; Early works to 1800.",1632
A00409,S118617,10539,"Two sermons The Christians comfort in his crosses, conducting him in the tempests of tribulation, to the happie hauen of heauenly tranquillitie. And the iudges, and iuries instruction. By William Est, Maister of Art, and preacher of Gods word.","Est, William, 1546 or 7-1625.",Printed by Tho Creede for Arthur Iohnson dwelling at the signe of the white Horse in Pauls Church yard,At London,"17th century.; Sermons, English",1614
A08197,S105660,18535,"The oration and sermon made at Rome by commaundement of the foure cardinalles, and the Dominican inquisitour, vpon paine of death. By Iohn Nichols, latelie the Popes scholler. Which sermon and oration was presented before the Pope and his cardinalles in his Consistorie, the xxvij. day of Maie. 1578. and remaineth there registred. Now by him brought into the English tongue, for the great comfort and commoditie of all faithfull Christians. Heerin also is aunswered an infamous libell, maliciouslie written and cast abroad, against the saide Iohn Nichols, with a sufficient discharge of himselfe from all the Papists lying reports, and his owne life both largelie and amplie discouered.","Nicholls, John, 1555-1584?",By Iohn Charlewood seruant to the right honourable the Earle of Arundell,Imprinted at London,Catholic Church; Controversial literature; Early works to 1800.,1581
A07233,S105628,17631,"A sermon preached at Trafford in Lancashire at the mariage of a daughter of the right worshipfull Sir Edmond Trafforde Knight, the 6. of September Anno. 1586. By William Massie bacheler in diuinity, and fellow of Brasennose Colledge in Oxforde","Massie, William, d. 1610.",Printed by Ioseph Barnes and are to be solde in London by T Cooke in Paules Church yard at the signe of the Tigres head,At Oxford,"Sermons, English; 16th century.",1586
A09054,S105866,19346,"Dorcas: or, A perfect patterne of a true disciple A sermon preached by Bartholomew Parsons B. of Divinity and rector of Ludgershall in the country of Wilts.","Parsons, Bartholomew, 1574-1642.",Printed by William Turner printer to the famous Vniversity,Oxford,"17th century.; Sermons, English",1631
A00466,S4669,10601.9,"The reward of the wicked preached in a sermon at Linfield in Sussex, and publi[she]d at the request of some welld[is]sed [sic] Christians / by Humphrey Everenden.","Everinden, Humphrey.",Printed by William Iones for Robert Bird and are to be sold at the signe of the Bible in Cheape side,London,"Punishment; Religious aspects; Sermons.; 17th century.; Christianity; Sermons, English",1625
A06872,nan,nan,"A fruitful sermon necessary for the time preached at the Spittle vpon the Tuesday in Easter weeke last, by Frauncis Marbury. Published by direction of authoritie.","Marbury, Francis, d. 1611.",By P Short dwelling on Breadstreet hill at the signe of the Starre,Printed at London,"17th century.; Sermons, English",1602
A08445,S104170,18767,"Fouretene sermons of Barnardine Ochyne, concernyng the predestinacion and eleccion of god: very expediente to the settynge forth of hys glorye among hys creatures. Translated out of Italian in to oure natyve younge by A.C.","Bacon, Anne Cooke, Lady, 1528?-1610.; Ochino, Bernardino, 1487-1564.",By John Day dwellynge ouer Aldersgate and Wylliam Seres dwellyng in Peter Colledge Cum priuilegio ad imprimendum solum,Imprinted at London,"Sermons, English; Predestination; Early works to 1800.; 16th century.",1551
A08377,S115273,1870,"A sermon preached in St. Maries Church in Oxford, March xxiv. MDCX. at the solemnizing of the happy inauguration of our gracious soveraigne King Iames Wherein is proved that kings doe hold their kingdomes immediately from God. By Sebastian Benefield D. of Divinitie, Fellow of Corpus Christi College.","Benefield, Sebastian, 1559-1630.",Printed by Joseph Barnes,At Oxford,"17th century.; Sermons, English",1611
A04575,nan,nan,"The necessity of faith; or, Nothing more necessarie for a Christian, than a true sauing faith Preached before the Prince His Highnesse at S. Iames, the fiue and twentith [sic] of Ianuary, 1623. By Robert Iohnson, Batchelor of Diuinity, and one of his Majesties chaplains in ordinary.","Johnson, Ro. (Robert)",Printed by H umphrey L ownes for Mathew Lownes and are to be sold at his shop in Pauls Churchyard at the signe of the Bishops head,London,"17th century.; Early works to 1800.; Sermons, English; Faith",1624
A01069,S102518,11176,"A sermon preached at Constantinople in the Vines of Perah, at the funerall of the vertuous and admired Lady Anne Glouer, sometime wife to the honourable Knight Sir Thomas Glouer, and then ambassadour ordinary for his Maiesty of Great Britaine, in the port of the Great Turke. By William Forde Bachelour in Diuinitie, and lately preacher to the right honourable ambassadour, and the rest of the English nation resident there. ...","Ford, William, b. 1559.",Printed by Edvvard Griffin for Francis Constable and are to be sold at his shop at the white Lyon ouer against the great north doore of Sainte Paules,London,"Funeral sermons.; Glover, Anne,; Lady, d. 1608.",1616
A07535,S100306,17917,"Concerning imposition of hands A sermon a the Lord Archbishop his visitation metropolitical, held, at Saint Marie Cray in Kent, by the Bishop of Rochester his Graces commissioner, the 7 of September last, preached by Richard Milborne Doctor of Diuinitie, and parson of Seuenoke in Kent.","Milbourne, Richard, d. 1624.",Printed by I Windet for Matthew Law and are to bee sold at his shop dwelling at the signe of the Fox in Pauls church yard,London,"17th century.; Sermons, English",1607
A03500,S115476,13623,"A sermon of obedience especially vnto authoritie ecclesiasticall, wherein the principall controuersies of our church are handled, and many of their obiections which are refractorie to the gouernment established, answered, though briefly as time and place could permit: being preached at a visitation of the right worshipfull M.D. Hinton,in Couentry. By Fran: Holyoke.","Holyoake, Francis, 1567-1653.",Printed by Ioseph Barnes and are to be sold by Iohn Barnes in London dwelling neere Holborne Conduit,At Oxford,"Hinton, William, 1552 or 3-1631.; Obedience; Sermons.; 17th century.; Sermons, English",1613
A09056,S114080,19347,"The first fruites of the Gentiles In three sermons preached in the cathedrall church at Sarum. By Bartholomevv Parsons Batchelor in Divinitie, and vicar of Collingborne-Kingstone, in the county of Wiltes.","Parsons, Bartholomew, 1574-1642.",Printed by Nicholas Okes for I H arrison and Edw Blackmore and are to be sold at his shop in Paules Church yard at the signe of the Blazing Starre,London,"17th century.; Sermons, English",1618
A03528,S113165,1365,"A verie godly, learned, and fruitfull sermon against the bad spirits of malignitie, malice, and vnmercifulnesse. Publikely preached by Thomas Bankes, Maister of Artes, and preacher of the word. Seene and allowed","Bankes, Thomas, 1555 or 6-1631.",Printed by Iohn Wolfe dwelling in Distaffe Lane neere the signe of the Castle,London,"Sermons, English; 16th century.",1586
A03279,S120671,13396,The dignitie of preaching in a sermon vpon 1. Thessal. 5.20. By Sam. Hieron.,"Hieron, Samuel, 1576?-1617.",Printed by Felix Kyngston for VVilliam Welby and are to be sold at his shop at the signe of the Swanne in Pauls Church yard,At London,"17th century.; Sermons, English",1615
A09035,S114075,19323,"The end of the perfect man A sermon preached at the buriall of the right Honourable Sir Robert Spencer Knight Baron Spencer of Wormeleighton, Novemb. 6. 1627. in Braynton Church in Northamptonshire, by Richard Parre Bachelour in Divinity, and late fellow of Brasen-nose Colledge in Oxford, now rector of Ladbrook in Warwickshire.","Parr, Richard, 1591 or 2-1644.",Printed by William Turner printer to the famous Vniversitie,Oxford,"Spencer, Robert Spencer,; Baron, 1570-1627; Sermons.; Funeral sermons; Early works to 1800.",1628
A08402,S101615,1872,The sinne against the Holy Ghost discouered and other Christian doctrines deliuered: in twelue sermons vpon part of the tenth chapter of the epistle to the Hebrewes. By Sebastian Benefield ...,"Benefield, Sebastian, 1559-1630.",Printed by Ioseph Barnes printer to the Vniversitie,At Oxford,"Sermons, English; Early works to 1800.; 17th century.; Sin, Unpardonable",1615
A03267,S116920,13385,"Aarons bells a-sounding In a sermon, tending cheiftly [sic] to admonish the ministerie, of their charge, & duty. Preached by M. Samuel Hieron at a general visitation neere Bristow. And now published by them to whom his coppy was entrusted after his death.","Hieron, Samuel, 1576?-1617.",s n,Holland,"17th century.; Sermons, English",1623
A03308,S116031,13426,"Three sermons 1. The good fight. Preached at the funerall of Henry Sommaster of Pens-ford in the country of Deuon, Esquire. Ian. 1606. 2. The worth of the water of life. 3. Dauids longing, and Dauids loue. By Sam. Hieron.","Hieron, Samuel, 1576?-1617.",Printed by Iohn Legate,At Cambridge,"Sommaster, Henry, d. 1606; Sermons; Early works to 1800.",1607
A04789,S107990,14920,"The exposition, and readynges of Iohn Keltridge: Mayster of the Artes: student of late in Trinitie Colledge in Cambridge, minister, preacher, and pastor of the Church of Dedham, that is in Essex: vpon the wordes of our Sauiour Christe, that bée written in the. xi. of Luke","Keltridge, John.",By William How for Abraham Veale,Imprinted at London,Luke XI; Bible.; N.T; Lord's prayer; Commentaries.; Early works to 1800.,1578
A00608,S115123,10743,"A sermon preached to the nobely-deseruing gentleman, Sir Thomas Warner And the rest of his companie: bound to the West-Indies. For their farevvell: At St. Buttolphs, Aldersgate, London. Septemb. 6. 1629. By Iohn Featly, Preacher of the Word of God.","Featley, John, 1605?-1666.",Printed for Nicholas Bourne at the south entrance of the Royall Exchange,London,"17th century.; Sermons, English",1629
A03851,S118809,13966,"A view of the Romish hydra and monster, traison, against the Lords annointed: condemned by Dauid, I. Sam. 26. and nowe confuted in seuen sermons to perswade obedience to princes, concord among our selues, and a generall reformation and repentaunce in all states: by L.H.","Humphrey, Laurence, 1525 or 6-1589.",Printed by Ioseph Barnes and are to be solde by T Cooke London in Paules Church yearde at the signe of the Tygershead,At Oxford,Catholic Church; Controversial literature; Early works to 1800.,1588
A06192,S119918,16688,"The merchant reall. Preached by VVilliam Loe Doctour of Diuinitie chaplaine to the kings sacred maiestie, and pastour of the Englishe church of merchants adventurers residing at Hamboroughe in Saxonie","Loe, William, d. 1645.",By Paule Lang,Printed at Hamboroughe,"17th century.; Sermons, English",1620
A03639,S116562,13767,"A sermon preached before the Kinges Maiestie, by I. Hopkins, one of his highnesse chaplaines","Hopkins, John, fl. 1604-1609.",By W W hite for Thomas Manne,Imprinted at London,"17th century.; Sermons, English",1604
A07297,S100647,17690,"The churches sleepe expressed in a sermon preached at the court, in the celebration of the Kings Maiesties most ioyfull and happie entrance into this kingdome, the 24. of March last. By Anthonie Maxey, Batchelar in Diuinitie, and chaplaine to his Maiestie in ordinary.","Maxey, Anthony, d. 1618.",Printed by T Este for Clement Knight dwelling in Paules Church yard at the signe of the holy Lambe,London,"17th century.; Sermons, English",1606
A09255,S120795,19569,"The godly merchant, or The great gaine A sermon preached at Paules Crosse. Octob. 17. 1613. By William Pemberton, Bachelour of Diuinity, and Minister of Gods Word at high Onger in Essex.","Pemberton, William, d. 1622.",Printed by Edw Griffin for Samuel Macham and are to be sold at his shop in Pauls Church yard at the signe of the Bul head,London,No Keywords,1613
A05534,S2190,15657.5,"A treatise of the ceremonies of the church vvherein the points in question concerning baptisme, kneeling, at the sacrament, confirmation, festiuities, &c. are plainly handled and manifested to be lawfull, as they are now vsed in the Church of England : whereunto is added a sermon preached by a reuerend bishop.","Lindsay, David, d. 1641?",Printed for Ralphe Rounthwaite and are to be solde at his shop at the signe of the Golden Lyon in Paules Church yard,London,Doctrines.; Great Britain; Church of Scotland; 17th century.; Church history,1625
A04847,S120643,1498,"The spirituall architecture. Or, the balance of Gods sanctuary to discerne the weigh and solidity of a true and sincere, from the leuitie, and vanitie of a false and counterfeit profession of Christianity. Wherein also the sandy foundations of the papisticall faith are briefely discouered. A sermon preached at Pauls Crosse the 16. of Nouember, 1623. by Robert Barrell, Master of Arts, and minister of Gods word at Maidstone in Kent","Barrell, Robert.",By Augustine Matthewes and Iohn Norton,Printed at London,"17th century.; Sermons, English",1624
A03582,S116953,13703,"A sermon preached in Paules Church in London and published for the instruction and consolation of all that are heauie harted, for the wofull time of God his generall visitation, both in the citie and in the countrie: and fit for the comfort of Gods children at all times.","Hooke, Christopher.",By E Allde,Imprinted at London,"17th century.; Sermons, English",1603
A03760,S104261,13879,"Certaine sermons made in Oxford, anno Dom. 1616 VVherein, is proued, that Saint Peter had no monarchicall power ouer the rest of the Apostles, against Bellarmine, Sanders, Stapleton, and the rest of that companie. By Iohn Howson, Doctor in Diuinitie, and prebendarie of Christ-Church; now Bishop of Oxon. Published by commandement.","Howson, John, 1557?-1632.",Printed by T homas S nodham for Iohn Pyper,London,"Controversial literature.; 17th century.; Papacy; Early works to 1800.; Catholic Church; Sermons, English",1622
A03908,S116561,14017,"A sermon preached in West-chester the viii. of October, 1586 Before the iudges and certain recusantes: wherein the conditions of al heretiques, but especiallie of stubborn and peruerting Papists, are discouered, & the duty of al magistrats concerning such persons, applied & opened by Edward Hutchins, Master of Artes, & Fellowe of Brasennose Colledge.","Hutchins, Edward, 1558?-1629.",Printed by Ioseph Barnes and are to be solde in Pauls Church yard by T Cooke London at the signe of the Tygers head,At Oxford,"Sermons, English; 16th century.",1586
A00944,nan,nan,"Magnificence exemplified: and, the repaire of Saint Pauls exhorted unto In a sermon appointed to be preached at St. Pauls-Crosse, but preached in the church. August the 31. 1634. By Gyles Fleming Mag. in Art. and preacher of Gods Word at Waddingworth, in Lincolne-shire.","Fleming, Giles, d. 1665.",Printed by Richard Badger for Thomas Alchorn and are to be sold at his shop in Pauls Church yard at the signe of the Green Dragon,London,"Buildings.; London; England; St. Paul's Cathedral (London, England); Sermons.; Church buildings; Conservation and restoration; Early works to 1800.",1634
A06521,S108932,16993,"Special and chosen sermons of D. Martin Luther collected out of his writings and preachings for the necessary instruction and edification of such, as hunger and seeke after the perfect knowledge and inestimable glorie which is in Christ Iesu, to the comfort and saluation of their soules. Englished by VV.G.","Luther, Martin, 1483-1546.; Gace, William.",By Thomas Vautroullier dwelling in the Blacke Friers by Ludgate Cum priuilegio,Imprinted at London,"Sermons, English; 16th century.",1578
A07952,S100664,18322,Christs suite to his church a sermon preached at Paules-crosse the third of October 1613 / by Thomas Myriell ...,"Myriell, Thomas, d. 1629.",Printed for Nathaniell Butter and are to be sould at the signe of the pide bull neare Saint Austines gate,London,"Song of Solomon V, 2; O.T.; Sermons.; Bible.; 17th century.; Sermons, English",1613
A04776,S108040,14905,"A returne from Argier A sermon preached at Minhead in the county of Somerset the 16. of March, 1627. at the re-admission of a relapsed Christian into our Church. By Edward Kellet Doctor of Diuinity.","Byam, Henry, 1580-1669. aut; Kellett, Edward, 1583-1641.",Printed by T homas H arper for I ohn P arker and are to be sold by Richard Thrale dwelling in Pauls Church yard at the signe of the Crosse Keyes,London,"17th century.; Sermons, English",1628
A05341,S108492,15493,"A sermon preached aboard of the Globe the 18. of May, anno 1617 At an anchor by the Cape of Good Hope, in the Bay of Souldania, 34. degrees to the southward of the æquinoctiall line. By William Lesk, minister of Gods Word. Entertained by the Honourable Companie of Marchants trading into East India, for the instruction and comfort of the fleet, by them sent forth for those easterne parts anno, 1614.","[Lesk, William].",Printed by George Purslowe and are to be sold at his house neere the east end of Christ Church,London,"17th century.; Sermons, English",1617
A04127,S119564,14267,"The oath of allegeance defended by a sermon preached at a synode in the Metropoliticall Church of Yorke; by Thomas Ireland, Bachelour in Diuinitie.","Ireland, Thomas, b. 1577 or 8.",Printed by Nicholas Okes for Edward Aggas and are to be sold at his shop vpon Snore hill neere Holborne Conduit,London,"Oath of allegiance, 1606.",1610
A29163,R37129,B4181,"A sermon preached at St. Catherine Cree Church, upon Sunday the 29th of June, 1696 by Nicholas Brady ... ; published at the desire of the parishioners.","Brady, Nicholas, 1659-1726.",Printed for Rich Parker,London,"Acts XX, 32; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1696
A28278,R13120,B3053,"A sermon preached before the honourable House of Commons, at St. Margaret's Westminster, January 30th,1698/9 by Ofspring Blackall ...","Blackall, Offspring, 1654-1716.",Printed by J Leake for Walter Kettilby,London,England; Sermons; 17th century,1699
A28266,R210967,B3035A,"A sermon on the Passion of our Lord and Saviour Jesus Christ. Preach'd before Her Majesty the Queen Dowager, in her chappel at Sommerset House, upon Good Fryday, April 13. 1688. By F. Angel Bix, of the Holy Order of St. Francis. Published by her Majesties special command.","Bix, Angel, d. 1695.",printed by J G and are to be sold by the booksellers of London and Westminster,London,"Passion; Sermons; 17th century.; Early works to 1800.; Jesus Christ; Sermons, English",1688
A29935,R19898,B5247,"A perswasive to the stricter observation of the Lords day in pursuance of His Majesties pious order and directions to preachers particularly about the observation of the Lord's day, &c. / by Matthew Bryan.","Bryan, Matthew, d. 1699.",Printed for S Keble and D Brown,London,Sabbath.,1686
A25395,R9005,A3140,"The morall law expounded ... that is, the long-expected, and much-desired worke of Bishop Andrewes upon the Ten commandments : being his lectures many yeares since in Pembroch-Hall Chappell, in Cambridge ... : whereunto is annexed nineteene sermons of his, upon prayer in generall, and upon the Lords prayer in particular : also seven sermons upon our Saviors tentations [sic] in the wildernesse. ...","Andrewes, Lancelot, 1555-1626.",Printed for Michael Sparke Robert Milbourne Richard Cotes and Andrew Crooke,London,"Temptation.; 17th century.; Ten commandments; Lord's prayer; Jesus Christ; Sermons, English; Early works to 1800.",1642
A27412,R25276,B1909,A disswasive from error much increased a perswasive to order much decayed / by Joseph Bentham.,"Bentham, Joseph, 1594?-1671.",Printed and are to be sold by William Thompson,London,Apostasy.; Faith.; Offenses against religion.,1669
A28221,R12753,B2981,"The bishop visiting, or, A sermon on I. Cor. XI. xxxiv. preached at Bvry St. Edmunds before the Right Reverend Father in God, William Lord-Bishop of Norwich, at the first session of His Lordship's primary visitation held there, on May the 3d 1686 / by Nath. Bisbie ...","Bisbie, Nathaniel, 1635-1695.",Printed for Walter Kettilby,London,Sermons.; Bishops,1686
A26158,R35290,A4157,"Ten sermons preach'd before Her Royal Highness, the Princess Ann of Denmark at the chappel at St. James by Lewis Atterbury ... LL.D. and one of the six preachers to Her Royal Highness.","Atterbury, Lewis, 1656-1731.",Printed by J H for Henry Mortlock,London,"17th century.; Sermons, English",1699
A29159,R37127,B4178,"A sermon preached at White-hall, March 3, 1694/5, upon occasion of Her late Majesties death before the Right Honourable the Countess of Derby, and the rest of the mourning ladies / by Nicholas Brady ... ; published at the request of that honourable audience.","Brady, Nicholas, 1659-1726.",Printed for Richard Parker,London,"Queen of England, 1662-1694.; Mary; Sermons.; II,; Bible.; 17th century.; Sermons, English; Funeral sermons.; James I, 2; N.T.",1695
A27571,R37047,B211,A funeral sermon preached on the occasion of the Right Honourable the Earl of Sh--y's late interment in Dorset-shire by W.B. a godly minister (though unworthy servant) of Jesus Christ.,W. B.,Printed by George Croom,London,"Great Britain; 1660-1688.; Politics and government; Shaftesbury, Anthony Ashley Cooper,; Earl of, 1621-1683.",1683
A26717,R28205,A999,A rebuke to backsliders and a spurr for loyterers in several sermons lately preached to a private congregation and now published for the awakening a sleepy age / by R.A.,"R. A. (Richard Alleine), 1611-1681.",Printed for John Hancock,London,"17th century.; Christian life; Sermons, English; Sermons.",1677
A29155,R40295,B4174,"A sermon preached at St. Catharine Cree-Church, on the 26th of November, 1691 being the thanksgiving-day, for the preservation of the King, and the reduction of Ireland / by Nicholas Brady ... ; printed at the request of his parishioners.","Brady, Nicholas, 1659-1726.",Printed for Samuel Crouch,London,"O.T.; Sermons.; Psalms XVIII, 50; Bible.; 17th century.; Thanksgiving Day; Sermons, English",1692
A23682,R20829,A1081,"A sermon preach'd at Oxford, before Sir. Will. Walker, Mayor of the said city, upon the 26th of July 1685 being the day of thanksgiving for the defeat of the rebels in Monmouth's rebellion / by Charles Allestree ...","Allestree, Charles, 1653 or 4-1707.",No publisher,Oxford,"Judges V, 31; O.T.; Sermons.; Bible.; 17th century.; Sermons, English; Monmouth's Rebellion, 1685.",1685
A25995,R35285,A3933,"A sermon preached in Trinity-College Chappell before the University of Dublin, January the 9th, 1693/4 being the first Secular Day since its foundation by Queen Elizabeth / by St. George Ashe ...","Ashe, St. George, 1658?-1718.",Printed by Joseph Ray for William Norman,Dublin,"Matthew XXVI, 13; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1694
A29335,R28,B4405,Le juif baptisé sermon presché dans l'Eglise françoise de la Savoye / par Monsieur de Breval ...,"Bréval, Monsieur de (François Durant), d. 1707.",Imprime par Thomas Niewcomb se vend chez Hen Herringman chez Wil Nott,A Londres,"Sermons.; Bible.; 17th century.; John III, 4; N.T.; Sermons, French",1671
A29182,R20229,B4202,"A cry for labourers in Gods harvest being a sermon preached upon the sad occasion of the late funeral of that eminent servant of Christ, Mr. Ralph Venning, who departed this life, March 10, 1673/4 / by Robert Bragge ...","Bragge, Robert, 1627-1704.",Printed and are to be sold by John Hancock Senior and Junior,London,"Matthew IX, 38; Sermons.; Bible.; 17th century.; Sermons, English; Funeral sermons.; N.T.; Venning, Ralph, 1621?-1674.",1674
A28673,R24665,B3594,"A new constellation discovered in a sermon preached at the visitation held at Leicester the 29th of April, 1674 / by Joshua Bonhome.","Bonhome, Joshua.",Printed by W G and are to be sold by Moses Pitt,London,"Revelation I, 16; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1675
A29515,R14226,B4695,"The easiness and difficulty of the Christian religion in a sermon preach'd before the Lord Mayor, and court of Aldermen of the city of London, at Guild-Hall chappel, on Sunday May 26. 1689 / by Isaac Bringhurst ...","Bringhurst, Isaac, d. 1697.",Printed for Jonathan Robinson,London,"Sermons.; Bible.; 17th century.; Matthew XI, 30; Sermons, English; N.T.",1689
A26338,R17135,A486,"A sermon preached before the Honourable House of Commons, at St. Margarets Westminster, November the fifth, 1696 by J. Adams ...","Adams, John, 1662-1720.",Printed by Sam Bridge for Thomas Bennet,London,"O.T.; Sermons.; Daniel III, 5; Bible.; 17th century.; Sermons, English",1696
A27394,R20777,B1890,"Moses's charge to Israel's judges opened in an assise sermon preached at Salisbury, Feb. 27, 1680, before the Right Honourable Sr. Thomas Jones ... / by John Bennion ...","Bennion, John, b. 1650 or 1.",And are to be sold by Francis Dollif,Printed at Oxford,"O.T.; Sermons.; Deuteronomy I, 16-17; Bible.; 17th century.; Sermons, English",1681
A29372,R28532,B4463,"Seasonable truths in evil-times in several sermons / lately preached in and about London by Willam Bridge, late preacher of the word of God at Yarmouth.","Bridge, William, 1600?-1670.",Printed for Nath Crouch,London,"17th century.; Sermons, English",1668
A25470,R29591,A3232,"The Morning exercise [at] Cri[ppleg]ate, or, Several cases of conscience practically resolved by sundry ministers, September 1661.","Annesley, Samuel, 1620?-1696.",Printed for Joshua Kirton and Nathaniel Webb,London,"17th century.; Sermons, English",1661
A29211,R24218,B4238,"The loyal prophet a sermon preached in St. Peters in York, upon Monday the 13 of July, at the summers assizes, anno 1668 / by William Bramhall.","Bramhall, William, 17th cent.",Ioh Garthwait,York,"17th century.; Sermons, English",1668
A25250,R27187,A2970,"Ultima, = the last things in reference to the first and middle things: or certain meditations on life, death, judgement, hell, right purgatory, and heaven: delivered by Isaac Ambrose, minister of the Gospel at Preston in Amoundernes in Lancashire.","Ambrose, Isaac, 1604-1664.",Printed for J A and are to be sold by Nathanael Webb and William Grantham at the Grey hound in Pauls Church yard,London,Meditations; Christian life; Early works to 1800.,1650
A21197,S120080,7550.5,The churches glory shewed forth in a sermon preached at the Haghe before Their Majesties the King & Queene [brace] of Bohemia / by J.E. ...,"Elborough, Jeremiah.",s n,The Hague,"O.T.; Sermons.; Psalms XLV, 13; Bible.; 17th century.; Sermons, English",1625
A20717,S118447,7101,"The true friend, or A bill of exchange expressed in a sermon preached at White-hall: vpon Sonday the XIII. of December, anno Domini, 1629. By Iohn Dovvle, Doctor of Divinitie, and his Maiesties chaplaine.","Dowle, John.",Printed by W I ones for Nicholas Bourne at the south entrance of the Royall Exchange,London,"17th century.; Sermons, English",1630
A27388,R17736,B1880,"Soul-prosperity in several sermons / by that eminent servant of Christ, Mr. William Benn ...","Benn, William, 1600-1680.",Printed for Awnsham Churchil and William Churchil bookseller,London,"Church of England; Soul; Sermons.; 17th century.; Early works to 1800.; Sermons, English",1683
A26408,R22248,A573,"A plot for a crown in a visitation-sermon, at Cricklade, May the fifteenth, 1682 : being a parallel between the heir and husband-men in the parable, and the rightful prince and his excluders in Parliament / by N. Adee ...","Adee, N. (Nicholas), d. 1701.",Printed by R W and are to be sold by Walter Davis,London,"Luke XX, 14; Sermons.; Bible.; Visitation sermons.; N.T.; Sermons, English.",1685
A22452,S115377,887,"The Christians race teaching vs all so worthily, and so wisely both to beginne, continue, and to end, this our most short and momentanie [sic] course in this mortall life: that in the day of our death wee may for euer enjoy that inestimable crowne of eternall blisse in the life to come. Being a sermon preached in the Parish Church of North Parrott in Somerset, by Iohn Atkins Master of Arts, and preacher of the sacred Word of God, and pastor there.","Atkins, John, Rector of North Parrott.",Printed by W Stansby for George Hodges and are to bee sold at his shop in Paules Church yard at the signe of the Gray hound,London,"17th century.; Sermons, English",1624
A23634,W1278,A1027,Man's self-reflection is the special means to further his recovery from his apostasy from God,"Allen, James, 1632-1710.",s n,Boston,Apostasy.; Conduct of life.,1699
A23649,R23572,A1047,"The way of the Spirit in bringing souls to Christ set forth in X sermons on John 16:7, 8, 9, 10 and chap 7:37 / by Mr. Thomas Allen, late pastor of a church in ... Norwich.","Allen, Thomas, 1608-1673.; Finch, Martin, 1628?-1698.",s n,London,"Holy Spirit.; 17th century.; Sermons, English; Salvation.",1676
